id,name,host_name,host_is_superhost,host_listings_count,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
36481633,"Private space, in modern condo, near gay village.",Neville,f,1,Downtown Toronto,43.66623,-79.3755,Condominium,Private room,1,1,1,1,Real Bed,50,140,100,10,10,10,10,10,10
36482107,"【主卧】二楼超大主卧,超大双人床,超大(双盆､双浴)独立卫生间,超大壁橱衣柜｡通透安静､温馨清洁!",水上荡舟,f,6,Tam O'Shanter,43.77947,-79.31255,Villa,Private room,2,1.5,1,1,Real Bed,90,172,100,10,10,10,10,10,10
36482549,Toronto Chic Luxury Modern House 4 Bedroom,Farzad,f,1,Broadview North,43.69407,-79.35071,House,Entire home/apt,10,4.5,4,5,Real Bed,399,78,100,10,8,10,10,10,10
36482651,Spacious bedrooms with free parking near 401,Joe,t,3,Malvern West,43.79122,-79.2437,Townhouse,Private room,4,1.5,2,2,Real Bed,52,14,100,10,10,10,10,10,10
36482732,1.5 bedroom Cabbagetown Gem available for TIFF,Bobby,f,1,Cabbagetown,43.66871,-79.36773,Apartment,Entire home/apt,3,1.5,2,2,Real Bed,500,50,,,,,,,
36483197,Great view+Parking luxury condo,Julia,f,2,Newtonbrook,43.78012,-79.41786,Condominium,Shared room,1,1,1,1,Real Bed,65,179,80,10,10,10,10,10,10
36483462,Basement Unit in North York,Kathleen,f,1,Weston,43.69428,-79.50749,Guest suite,Entire home/apt,2,1,1,1,Real Bed,85,325,100,10,10,10,10,10,10
36484257,York U Private Bright Beautiful Spacious Room.,Massi,f,1,York University Heights,43.76725,-79.50336,House,Private room,1,1,1,1,Real Bed,45,122,,,,,,,
36484874,Designer Suite in Central Downtown Toronto,Faisal,f,1,Niagara,43.63774,-79.40205,Condominium,Entire home/apt,3,1,1,1,Real Bed,200,12,,,,,,,
36485380,Views from the Six- luxury Toronto Condo,Nick,t,7,Downtown Toronto,43.63978,-79.39816,Condominium,Entire home/apt,4,1.5,1,1,Real Bed,175,14,,,,,,,
36485391,Large Master bedr @Avenue & Lawrence FREE PARKING!,Laure,f,29,Bedford Park,43.73047,-79.4139,House,Private room,4,1.5,1,2,Real Bed,70,87,20,2,8,6,2,10,2
36485883,Large 1 bedroom unit,Okba,f,1,Woodbine/Lumsden,43.69969,-79.31854,Apartment,Entire home/apt,3,1,1,1,Real Bed,75,5,,,,,,,
36486144,Cozy room with private washroom and balcony,Rakiya,f,1,York University Heights,43.76793,-79.49765,House,Private room,2,1,1,1,Real Bed,33,0,,,,,,,
36486325,Executive Artist Loft in Toronto's Arts District,Bafuor,f,1,Downtown Toronto,43.65267,-79.36859,Loft,Entire home/apt,3,1.5,1,1,Real Bed,176,69,80,9,8,10,8,10,9
36487020,Gorgeous 46th floor condo with great view,Ola,f,1,Entertainment District,43.6415,-79.38358,Condominium,Entire home/apt,4,1,1,2,Real Bed,195,83,97,10,10,10,10,10,10
36487059,Luxury home Over than 7000 SQFT,Tao,f,31,Willowdale,43.77449,-79.40474,House,Entire home/apt,16,7,8,12,Real Bed,599,352,100,10,8,10,8,10,10
36487571,Clover Toronto Lakeshore Luxury Condo + Parking,Marty,f,1,Niagara,43.63848,-79.4034,Condominium,Entire home/apt,5,1,1,3,Real Bed,169,331,96,10,10,10,10,10,10
36487749,Private Room with Bathroom at Yonge & Sheppard,Thuy,f,1,Willowdale,43.76643,-79.41399,Condominium,Private room,2,1,1,1,Real Bed,85,358,,,,,,,
36488671,Private Room Near Fairview Mall-Toronto,Garima,f,3,Henry Farm,43.77429,-79.34339,Apartment,Private room,2,1,1,1,Real Bed,40,9,,,,,,,
36489815,4 Bedroom Apartment with Separate Entrance,Mark,f,1,Long Branch,43.59323,-79.53543,House,Entire home/apt,4,2,4,4,Real Bed,300,145,100,8,8,10,10,10,10
36490679,"Cozy Basement Apt, Near 401, Subway, Airport. H149",Sunny,f,24,Clanton Park,43.75003,-79.44952,Bungalow,Entire home/apt,6,1,2,4,Real Bed,170,15,60,6,2,10,8,10,4
36495071,Condo style Apartment,Adrian,f,4,Wychwood Park,43.67478,-79.42074,Apartment,Private room,2,1,1,1,Real Bed,90,359,,,,,,,
36496082,Great location,Jamie,f,1,Birch Cliff,43.68071,-79.28239,Condominium,Entire home/apt,2,1,0,2,Real Bed,157,1,100,10,10,10,10,8,8
36504986,Panoramic views in Downtown Toronto (900 sqfeet),Melinda,f,1,Downtown Toronto,43.63917,-79.39739,Condominium,Entire home/apt,2,1,1,1,Real Bed,89,0,,,,,,,
36505368,Take in Panoramic City Views from an Elegant Condo,Leon,f,1,Downtown Toronto,43.66318,-79.38674,Condominium,Entire home/apt,6,2,2,3,Real Bed,325,49,100,10,10,10,10,10,10
36506892,A Cozy Room by the Ravine,Hidulfa,f,1,Clairlea,43.71469,-79.27426,Townhouse,Private room,2,1.5,1,1,Real Bed,76,135,100,10,10,10,10,10,10
36507617,Chez Eddie,Edward,f,2,Parkwoods,43.76039,-79.34076,House,Private room,1,1,1,1,Real Bed,50,365,100,10,10,10,10,10,10
